Batch Size,Activation,Hidden Size,Num Layers,Dropout,Learning Rate,Epochs,MSE,RMSE,MAE,MAPE,R2
64,elu,256,2,0.1,0.0003,100,7.979572772979736,2.8248137589900923,2.1256489753723145,11.99103519320488,0.7883827686309814
32,relu,192,3,0.2,0.0003,100,8.013002395629883,2.8307247120887404,2.1679227352142334,11.911344528198242,0.7874962091445923
64,elu,192,3,0.1,0.0003,100,8.01771354675293,2.831556735570193,2.1347732543945312,12.039420008659363,0.7873712778091431
32,elu,384,3,0.1,0.0005,100,8.043000221252441,2.836018374632372,2.1544299125671387,12.143521010875702,0.7867006659507751
32,leaky_relu,192,3,0.2,0.0001,100,8.07005500793457,2.8407842241068875,2.1541054248809814,11.907000094652176,0.7859832048416138
32,leaky_relu,192,2,0.2,0.0001,100,8.077109336853027,2.842025569352434,2.154165267944336,11.925874650478363,0.7857961058616638
64,leaky_relu,256,3,0.1,0.0001,100,8.08843994140625,2.8440182737468915,2.1549346446990967,11.794092506170273,0.7854955792427063
32,relu,192,2,0.1,0.0001,100,8.10101318359375,2.8462278867992543,2.1710643768310547,11.936787515878677,0.7851621508598328
64,relu,256,3,0.2,0.0001,100,8.130928993225098,2.851478387297561,2.1648311614990234,11.924134194850922,0.7843688130378723
32,elu,384,3,0.2,0.0005,100,8.138909339904785,2.85287737905168,2.177976608276367,12.530286610126495,0.7841571569442749
32,relu,192,2,0.2,0.0001,100,8.159283638000488,2.8564459802349647,2.180220603942871,11.91251426935196,0.783616840839386
64,leaky_relu,384,2,0.1,0.0001,100,8.278120040893555,2.877172229967048,2.194955825805664,12.104929983615875,0.780465304851532
64,elu,384,3,0.2,0.0003,100,8.362092971801758,2.8917283710268773,2.2005584239959717,12.582840025424957,0.7782383561134338
32,elu,384,3,0.1,0.0001,100,8.48205852508545,2.9123973844730475,2.2089602947235107,12.427211552858353,0.7750568985939026
